Month-year,max_temp,Min_temp,avg_temp,departure_temp,
Jan-18,59.5,49.3,54.4,2.2,
Feb-18,63,48,55.5,1.3,
Mar-18,61.6,47.8,54.7,-0.8,
Apr-18,62.3,50.3,56.3,-0.1,
May-18,62.3,52,57.2,-0.6,
Jun-18,66.5,53.1,59.8,0.1,
Jul-18,65.9,55,60.5,0.2,
Aug-18,66,54.9,60.5,-1.2,
Sep-18,66.3,54.6,60.4,-2.5,
Oct-18,69.1,55.5,62.3,0.2,
Nov-18,65.8,52.4,59.1,1.9,
Dec-18,58.7,49.2,54,1.5,
Jan-19,59.9,49.9,54.9,2.7,
Feb-19,55.1,45.6,50.3,-3.9,
Mar-19,61.4,49.1,55.2,-0.3,
Apr-19,63.9,51.9,57.9,1.5,
May-19,61.1,51.7,56.4,-1.4,
Jun-19,68.8,55.3,62.1,2.4,
Jul-19,66.3,55,60.6,0.3,
Aug-19,70.6,57.8,64.2,2.5,
Sep-19,72.3,57.9,65.1,2.2,
Oct-19,71.7,54.5,63.1,1,
Nov-19,63.8,49.9,56.8,-0.4,
Dec-19,57.8,49.4,53.6,1.1,
Jan-20,57.6,48,52.8,0.6,
Feb-20,63.7,49,56.4,2.2,
Mar-20,60.3,48.8,54.5,-1,
Apr-20,62.2,50.8,56.5,0.1,
May-20,67.3,53.3,60.3,2.5,
Jun-20,67.8,54.8,61.3,1.6,
Jul-20,66,54.9,60.4,0.1,
Aug-20,69.2,56.7,62.9,1.2,
Sep-20,72.9,58.1,65.5,2.6,
Oct-20,73.9,56.5,65.2,3.1,
Nov-20,62.9,49.3,56.1,-1.1,
Dec-20,59.5,47.2,53.4,0.9,
Jan-21,58.6,47.5,53.1,0.9,
Feb-21,60.8,47.6,54.2,0,
Mar-21,60,46.7,53.4,-2.1,
Apr-21,59.3,48.3,53.8,-2.6,
May-21,61.9,49.9,55.9,-1.9,
Jun-21,65.4,54,59.7,0,
Jul-21,63.7,54.1,58.9,-1.4,
Aug-21,67.4,56.6,62,0.3,
Sep-21,68,55.9,62,-0.9,
Oct-21,67.8,54.4,61.1,-1,
Nov-21,64.7,52.8,58.8,1.6,
Dec-21,55.2,46.5,50.8,-1.7,
Jan-22,60,48,54,1.8,
Feb-22,63.9,47.8,55.8,1.6,
Mar-22,61,47.9,54.5,-1,
Apr-22,62.5,48.9,55.7,-0.7,
May-22,64.2,50.3,57.3,-0.5,-
Jun-22,68.1,53.4,60.8,1.1,